"CODE","PT","RELATIONSHIP_TO_TARGET","TARGET_CODE","TARGET_TERM","TARGET_TERM_TYPE","TARGET_TERMINOLOGY","TARGET_TERMINOLOGY_VERSION"
"C17998","Unknown","Has Synonym","ann_arbor_b_symptoms","Unknown","PT","GDC","N/A"
"C17998","Unknown","Has Synonym","environmental_tobacco_smoke_exposure","Unknown","PT","GDC","N/A"
"C17998","Unknown","Has Synonym","metaplasia_present","Unknown","PT","GDC","N/A"
"C17998","Unknown","Has Synonym","chromosome","Unknown","PT","GDC","N/A"
"C17998","Unknown","Has Synonym","menopause_status","Unknown","PT","GDC","N/A"
"C17998","Unknown","Has Synonym","dysplasia_type","Unknown","PT","GDC","N/A"
"C17998","Unknown","Has Synonym","hysterectomy_margins_involved","Unknown","PT","GDC","N/A"
"C17998","Unknown","Has Synonym","tobacco_smoking_status","Unknown","PT","GDC","N/A"
"C17998","Unknown","Has Synonym","anaplasia_present","Unknown","PT","GDC","N/A"
"C17998","Unknown","Has Synonym","hormonal_contraceptive_type","Unknown","PT","GDC","N/A"
"C17998","Unknown","Has Synonym","therapeutic_agents","Unknown","PT","GDC","N/A"
"C17998","Unknown","Has Synonym","bone_marrow_malignant_cells","Unknown","PT","GDC","N/A"
"C17998","Unknown","Has Synonym","hysterectomy_type","Unknown","PT","GDC","N/A"
"C17998","Unknown","Has Synonym","metastasis_at_diagnosis","Unknown","PT","GDC","N/A"
"C17998","Unknown","Has Synonym","asbestos_exposure","Unknown","PT","GDC","N/A"
"C17998","Unknown","Has Synonym","prior_treatment","Unknown","PT","GDC","N/A"
"C17998","Unknown","Has Synonym","smoking_frequency","Unknown","PT","GDC","N/A"
"C17998","Unknown","Has Synonym","test_analyte_type","Unknown","PT","GDC","N/A"
"C17998","Unknown","Has Synonym","inrg_stage","Unknown","PT","GDC","N/A"
"C17998","Unknown","Has Synonym","mismatch_repair_mutation","Unknown","PT","GDC","N/A"
"C17998","Unknown","Has Synonym","cause_of_death_source","Unknown","PT","GDC","N/A"
"C17998","Unknown","Has Synonym","first_symptom_prior_to_diagnosis","Unknown","PT","GDC","N/A"
"C17998","Unknown","Has Synonym","disease_type","Unknown","PT","GDC","N/A"
"C17998","Unknown","Has Synonym","medulloblastoma_molecular_classification","Unknown","PT","GDC","N/A"
"C17998","Unknown","Has Synonym","viral_hepatitis_serologies","Unknown","PT","GDC","N/A"
"C17998","Unknown","Has Synonym","ann_arbor_pathologic_stage","Unknown","PT","GDC","N/A"
"C17998","Unknown","Has Synonym","relationship_gender","unknown","PT","GDC","N/A"
"C17998","Unknown","Has Synonym","biospecimen_anatomic_site","Unknown","PT","GDC","N/A"
"C17998","Unknown","Has Synonym","second_gene_symbol","Unknown","PT","GDC","N/A"
"C17998","Unknown","Has Synonym","cog_renal_stage","Unknown","PT","GDC","N/A"
"C17998","Unknown","Has Synonym","gender","unknown","PT","GDC","N/A"
"C17998","Unknown","Has Synonym","ishak_fibrosis_score","Unknown","PT","GDC","N/A"
"C17998","Unknown","Has Synonym","satellite_nodule_present","Unknown","PT","GDC","N/A"
"C17998","Unknown","Has Synonym","immunosuppressive_treatment_type","Unknown","PT","GDC","N/A"
"C17998","Unknown","Has Synonym","treatment_type","Unknown","PT","GDC","N/A"
"C17998","Unknown","Has Synonym","site_of_resection_or_biopsy","Unknown","PT","GDC","N/A"
"C17998","Unknown","Has Synonym","method_of_sample_procurement","Unknown","PT","GDC","N/A"
"C17998","Unknown","Has Synonym","lymph_node_involvement","Unknown","PT","GDC","N/A"
"C17998","Unknown","Has Synonym","treatment_anatomic_site","Unknown","PT","GDC","N/A"
"C17998","Unknown","Has Synonym","biospecimen_laterality","Unknown","PT","GDC","N/A"
"C17998","Unknown","Has Synonym","progression_or_recurrence","Unknown","PT","GDC","N/A"
"C17998","Unknown","Has Synonym","cog_neuroblastoma_risk_group","Unknown","PT","GDC","N/A"
"C17998","Unknown","Has Synonym","ann_arbor_extranodal_involvement","Unknown","PT","GDC","N/A"
"C17998","Unknown","Has Synonym","margin_status","Unknown","PT","GDC","N/A"
"C17998","Unknown","Has Synonym","pregnant_at_diagnosis","Unknown","PT","GDC","N/A"
"C17998","Unknown","Has Synonym","relationship_type","Unknown","PT","GDC","N/A"
"C17998","Unknown","Has Synonym","instrument_model","Unknown","PT","GDC","N/A"
"C17998","Unknown","Has Synonym","irs_group","Unknown","PT","GDC","N/A"
"C17998","Unknown","Has Synonym","progression_or_recurrence","unknown","PT","GDC","N/A"
"C43234","Not Reported","Has Synonym","metaplasia_present","Not Reported","PT","GDC","N/A"
"C43234","Not Reported","Has Synonym","figo_stage","Not Reported","PT","GDC","N/A"
"C43234","Not Reported","Has Synonym","ajcc_pathologic_t","Not Reported","PT","GDC","N/A"
"C43234","Not Reported","Has Synonym","vital_status","Not Reported","PT","GDC","N/A"
"C43234","Not Reported","Has Synonym","viral_hepatitis_serologies","Not Reported","PT","GDC","N/A"
"C43234","Not Reported","Has Synonym","vascular_invasion_present","Not Reported","PT","GDC","N/A"
"C43234","Not Reported","Has Synonym","mismatch_repair_mutation","Not Reported","PT","GDC","N/A"
"C43234","Not Reported","Has Synonym","progression_or_recurrence","not reported","PT","GDC","N/A"
"C43234","Not Reported","Has Synonym","biospecimen_anatomic_site","Not Reported","PT","GDC","N/A"
"C43234","Not Reported","Has Synonym","relationship_type","Not Reported","PT","GDC","N/A"
"C43234","Not Reported","Has Synonym","progression_or_recurrence_anatomic_site","Not Reported","PT","GDC","N/A"
"C43234","Not Reported","Has Synonym","ann_arbor_clinical_stage","Not Reported","PT","GDC","N/A"
"C43234","Not Reported","Has Synonym","relative_with_cancer_history","not reported","PT","GDC","N/A"
"C43234","Not Reported","Has Synonym","margin_status","Not Reported","PT","GDC","N/A"
"C43234","Not Reported","Has Synonym","bone_marrow_malignant_cells","Not Reported","PT","GDC","N/A"
"C43234","Not Reported","Has Synonym","enneking_msts_stage","Not Reported","PT","GDC","N/A"
"C43234","Not Reported","Has Synonym","lymph_node_involvement","Not Reported","PT","GDC","N/A"
"C43234","Not Reported","Has Synonym","exposure_duration","Not Reported","PT","GDC","N/A"
"C43234","Not Reported","Has Synonym","comorbidity_method_of_diagnosis","Not Reported","PT","GDC","N/A"
"C43234","Not Reported","Has Synonym","normal_tumor_genotype_snp_match","Not Reported","PT","GDC","N/A"
"C43234","Not Reported","Has Synonym","goblet_cells_columnar_mucosa_present","Not Reported","PT","GDC","N/A"
"C43234","Not Reported","Has Synonym","vascular_invasion_type","Not Reported","PT","GDC","N/A"
"C43234","Not Reported","Has Synonym","antigen","Not Reported","PT","GDC","N/A"
"C43234","Not Reported","Has Synonym","morphology","Not Reported","PT","GDC","N/A"
"C43234","Not Reported","Has Synonym","ann_arbor_pathologic_stage","Not Reported","PT","GDC","N/A"
"C43234","Not Reported","Has Synonym","gender","not reported","PT","GDC","N/A"
"C43234","Not Reported","Has Synonym","residual_disease","Not Reported","PT","GDC","N/A"
"C43234","Not Reported","Has Synonym","relationship_primary_diagnosis","Not Reported","PT","GDC","N/A"
"C43234","Not Reported","Has Synonym","micropapillary_features","Not Reported","PT","GDC","N/A"
"C43234","Not Reported","Has Synonym","metastasis_at_diagnosis","Not Reported","PT","GDC","N/A"
"C43234","Not Reported","Has Synonym","hormone_replacement_therapy_type","Not Reported","PT","GDC","N/A"
"C43234","Not Reported","Has Synonym","tobacco_smoking_status","Not Reported","PT","GDC","N/A"
"C43234","Not Reported","Has Synonym","ajcc_clinical_stage","Not Reported","PT","GDC","N/A"
"C43234","Not Reported","Has Synonym","irs_group","Not Reported","PT","GDC","N/A"
"C43234","Not Reported","Has Synonym","molecular_analysis_method","Not Reported","PT","GDC","N/A"
"C43234","Not Reported","Has Synonym","gastric_esophageal_junction_involvement","Not Reported","PT","GDC","N/A"
"C43234","Not Reported","Has Synonym","biospecimen_laterality","Not Reported","PT","GDC","N/A"
"C43234","Not Reported","Has Synonym","enneking_msts_tumor_site","Not Reported","PT","GDC","N/A"
"C43234","Not Reported","Has Synonym","igcccg_stage","Not Reported","PT","GDC","N/A"
"C43234","Not Reported","Has Synonym","lymphatic_invasion_present","Not Reported","PT","GDC","N/A"
"C43234","Not Reported","Has Synonym","supratentorial_localization","Not Reported","PT","GDC","N/A"
"C43234","Not Reported","Has Synonym","laboratory_test","Not Reported","PT","GDC","N/A"
"C43234","Not Reported","Has Synonym","enneking_msts_grade","Not Reported","PT","GDC","N/A"
"C43234","Not Reported","Has Synonym","non_nodal_tumor_deposits","Not Reported","PT","GDC","N/A"
"C43234","Not Reported","Has Synonym","ishak_fibrosis_score","Not Reported","PT","GDC","N/A"
"C43234","Not Reported","Has Synonym","procedures_performed","Not Reported","PT","GDC","N/A"
"C43234","Not Reported","Has Synonym","test_analyte_type","Not Reported","PT","GDC","N/A"
"C43234","Not Reported","Has Synonym","non_nodal_regional_disease","Not Reported","PT","GDC","N/A"
"C43234","Not Reported","Has Synonym","hysterectomy_margins_involved","Not Reported","PT","GDC","N/A"
"C43234","Not Reported","Has Synonym","ajcc_clinical_t","Not Reported","PT","GDC","N/A"
"C43234","Not Reported","Has Synonym","risk_factor","Not Reported","PT","GDC","N/A"
"C43234","Not Reported","Has Synonym","instrument_model","Not Reported","PT","GDC","N/A"
"C43234","Not Reported","Has Synonym","hormonal_contraceptive_type","Not Reported","PT","GDC","N/A"
"C43234","Not Reported","Has Synonym","tumor_focality","Not Reported","PT","GDC","N/A"
"C43234","Not Reported","Has Synonym","ethnicity","not reported","PT","GDC","N/A"
"C43234","Not Reported","Has Synonym","method_of_sample_procurement","Not Reported","PT","GDC","N/A"
"C43234","Not Reported","Has Synonym","primary_site","Not Reported","PT","GDC","N/A"
"C43234","Not Reported","Has Synonym","hpv_positive_type","Not Reported","PT","GDC","N/A"
"C43234","Not Reported","Has Synonym","ecog_performance_status","Not Reported","PT","GDC","N/A"
"C43234","Not Reported","Has Synonym","eln_risk_classification","Not Reported","PT","GDC","N/A"
"C43234","Not Reported","Has Synonym","reflux_treatment_type","Not Reported","PT","GDC","N/A"
"C43234","Not Reported","Has Synonym","satellite_nodule_present","Not Reported","PT","GDC","N/A"
"C43234","Not Reported","Has Synonym","progression_or_recurrence_type","Not Reported","PT","GDC","N/A"
"C43234","Not Reported","Has Synonym","tumor_grade","Not Reported","PT","GDC","N/A"
"C43234","Not Reported","Has Synonym","last_known_disease_status","not reported","PT","GDC","N/A"
"C43234","Not Reported","Has Synonym","peritoneal_fluid_cytological_status","Not Reported","PT","GDC","N/A"
"C43234","Not Reported","Has Synonym","cause_of_death","Not Reported","PT","GDC","N/A"
"C43234","Not Reported","Has Synonym","first_symptom_prior_to_diagnosis","Not Reported","PT","GDC","N/A"
"C43234","Not Reported","Has Synonym","cog_liver_stage","Not Reported","PT","GDC","N/A"
"C43234","Not Reported","Has Synonym","esophageal_columnar_dysplasia_degree","Not Reported","PT","GDC","N/A"
"C43234","Not Reported","Has Synonym","second_gene_symbol","Not Reported","PT","GDC","N/A"
"C43234","Not Reported","Has Synonym","treatment_frequency","Not Reported","PT","GDC","N/A"
"C43234","Not Reported","Has Synonym","cause_of_death_source","Not Reported","PT","GDC","N/A"
"C43234","Not Reported","Has Synonym","relationship_gender","not reported","PT","GDC","N/A"
"C43234","Not Reported","Has Synonym","lymph_node_involved_site","Not Reported","PT","GDC","N/A"
"C43234","Not Reported","Has Synonym","ajcc_pathologic_stage","Not Reported","PT","GDC","N/A"
"C43234","Not Reported","Has Synonym","haart_treatment_indicator","Not Reported","PT","GDC","N/A"
"C43234","Not Reported","Has Synonym","ann_arbor_b_symptoms","Not Reported","PT","GDC","N/A"
"C43234","Not Reported","Has Synonym","ovarian_surface_involvement","Not Reported","PT","GDC","N/A"
"C43234","Not Reported","Has Synonym","tumor_descriptor","Not Reported","PT","GDC","N/A"
"C43234","Not Reported","Has Synonym","laterality","Not Reported","PT","GDC","N/A"
"C43234","Not Reported","Has Synonym","hysterectomy_type","Not Reported","PT","GDC","N/A"
"C43234","Not Reported","Has Synonym","mitosis_karyorrhexis_index","Not Reported","PT","GDC","N/A"
"C43234","Not Reported","Has Synonym","hormonal_contraceptive_use","Not Reported","PT","GDC","N/A"
"C43234","Not Reported","Has Synonym","inrg_stage","Not Reported","PT","GDC","N/A"
"C43234","Not Reported","Has Synonym","histone_variant","Not Reported","PT","GDC","N/A"
"C43234","Not Reported","Has Synonym","tumor_regression_grade","Not Reported","PT","GDC","N/A"
"C43234","Not Reported","Has Synonym","hepatitis_sustained_virological_response","Not Reported","PT","GDC","N/A"
"C43234","Not Reported","Has Synonym","anaplasia_present_type","Not Reported","PT","GDC","N/A"
"C43234","Not Reported","Has Synonym","gene_symbol","Not Reported","PT","GDC","N/A"
"C43234","Not Reported","Has Synonym","site_of_resection_or_biopsy","Not Reported","PT","GDC","N/A"
"C43234","Not Reported","Has Synonym","treatment_or_therapy","not reported","PT","GDC","N/A"
"C43234","Not Reported","Has Synonym","risk_factor_treatment","Not Reported","PT","GDC","N/A"
"C43234","Not Reported","Has Synonym","necrosis_present","Not Reported","PT","GDC","N/A"
"C43234","Not Reported","Has Synonym","treatment_effect_indicator","Not Reported","PT","GDC","N/A"
"C43234","Not Reported","Has Synonym","immunosuppressive_treatment_type","Not Reported","PT","GDC","N/A"
"C43234","Not Reported","Has Synonym","ovarian_specimen_status","Not Reported","PT","GDC","N/A"
"C43234","Not Reported","Has Synonym","tissue_type","Not Reported","PT","GDC","N/A"
"C43234","Not Reported","Has Synonym","composition","Not Reported","PT","GDC","N/A"
"C43234","Not Reported","Has Synonym","ajcc_clinical_m","Not Reported","PT","GDC","N/A"
"C43234","Not Reported","Has Synonym","pregnancy_outcome","Not Reported","PT","GDC","N/A"
"C43234","Not Reported","Has Synonym","anaplasia_present","Not Reported","PT","GDC","N/A"
"C43234","Not Reported","Has Synonym","cog_rhabdomyosarcoma_risk_group","Not Reported","PT","GDC","N/A"
"C43234","Not Reported","Has Synonym","chromosome","Not Reported","PT","GDC","N/A"
"C43234","Not Reported","Has Synonym","cog_renal_stage","Not Reported","PT","GDC","N/A"
"C43234","Not Reported","Has Synonym","diagnosis_pathologically_confirmed","Not Reported","PT","GDC","N/A"
"C43234","Not Reported","Has Synonym","variant_type","Not Reported","PT","GDC","N/A"
"C43234","Not Reported","Has Synonym","prior_treatment","Not Reported","PT","GDC","N/A"
"C43234","Not Reported","Has Synonym","perineural_invasion_present","Not Reported","PT","GDC","N/A"
"C43234","Not Reported","Has Synonym","treatment_outcome","Not Reported","PT","GDC","N/A"
"C43234","Not Reported","Has Synonym","disease_type","Not Reported","PT","GDC","N/A"
"C43234","Not Reported","Has Synonym","medulloblastoma_molecular_classification","Not Reported","PT","GDC","N/A"
"C43234","Not Reported","Has Synonym","transglottic_extension","Not Reported","PT","GDC","N/A"
"C43234","Not Reported","Has Synonym","cog_neuroblastoma_risk_group","Not Reported","PT","GDC","N/A"
"C43234","Not Reported","Has Synonym","pregnant_at_diagnosis","Not Reported","PT","GDC","N/A"
"C43234","Not Reported","Has Synonym","primary_diagnosis","Not Reported","PT","GDC","N/A"
"C43234","Not Reported","Has Synonym","columnar_mucosa_present","Not Reported","PT","GDC","N/A"
"C43234","Not Reported","Has Synonym","secondhand_smoke_as_child","Not Reported","PT","GDC","N/A"
"C43234","Not Reported","Has Synonym","dysplasia_type","Not Reported","PT","GDC","N/A"
"C43234","Not Reported","Has Synonym","sarcomatoid_present","Not Reported","PT","GDC","N/A"
